compound,salinity,group,headspace_mL,date,day,umoles.mean,umoles.sd
medium_only,fresh,medium_only_control,100,2015-02-05,170,NA,NA
medium_only,saline,medium_only_control,100,2015-02-05,170,NA,NA
26-diMN,brackish,treatment,77,2015-03-19,212,65.7,47.5359863682242
DBT,brackish,treatment,77,2015-03-19,212,81.3666666666667,9.57200780052614
PHEN,brackish,treatment,77,2015-03-19,212,86.0666666666667,11.2349158133621
26-diMN,fresh,treatment,77,2015-03-19,212,21.5666666666667,15.8298241725337
DBT,fresh,treatment,77,2015-03-19,212,NA,NA
PHEN,fresh,treatment,77,2015-03-19,212,32.5,41.1617540928469
26-diMN,saline,treatment,77,2015-03-19,212,25.5666666666667,4.83356321292412
DBT,saline,treatment,77,2015-03-19,212,-3.53333333333333,0.950438495292217
PHEN,saline,treatment,77,2015-03-19,212,10.3333333333333,11.9584001159575
none,brackish,unamended_control,77,2015-03-19,212,15.3666666666667,11.500144926623
none,fresh,unamended_control,77,2015-03-19,212,NA,NA
none,saline,unamended_control,77,2015-03-19,212,1.66666666666667,9.05556918881046
26-diMN,brackish,sterile_control,97,2015-03-19,212,NA,NA
DBT,brackish,sterile_control,97,2015-03-19,212,NA,NA
PHEN,brackish,sterile_control,97,2015-03-19,212,NA,NA
26-diMN,fresh,sterile_control,97,2015-03-19,212,NA,NA
DBT,fresh,sterile_control,97,2015-03-19,212,NA,NA
PHEN,fresh,sterile_control,97,2015-03-19,212,NA,NA
26-diMN,saline,sterile_control,97,2015-03-19,212,NA,NA
DBT,saline,sterile_control,97,2015-03-19,212,NA,NA
PHEN,saline,sterile_control,97,2015-03-19,212,NA,NA
medium_only,brackish,medium_only_control,100,2015-03-19,212,NA,NA
medium_only,fresh,medium_only_control,100,2015-03-19,212,NA,NA
medium_only,saline,medium_only_control,100,2015-03-19,212,NA,NA
26-diMN,brackish,treatment,77,2015-04-23,247,66.3333333333333,54.6875061904758
DBT,brackish,treatment,77,2015-04-23,247,92.1666666666667,5.95846736445986
PHEN,brackish,treatment,77,2015-04-23,247,NA,NA
26-diMN,fresh,treatment,77,2015-04-23,247,27,17.1607109409838
DBT,fresh,treatment,77,2015-04-23,247,NA,NA
